data; 

set N := 0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25;

set E :=  (0,1) (1,2) (1,6) (2,3) (2,7) (3,4) (3,8) (4,5) (4,9) (5,10) (6,7) (6,11) (7,8) (7,12) (8,9) (8,13) (9,10) (9,14) (10,15) (11,12) (11,16) (12,13) (12,17) (13,14) (13,18) (14,15) (14,19) (15,20) (16,17) (16,21) (17,18) (17,22) (18,19) (18,23) (19,20) (19,24) (20,25) (21,22) (22,23) (23,24) (24,25);

set F[0,1] :=  (0,1);

set F[1,2] :=  (1,6) (2,3) (2,7) (0,1);

set F[1,6] :=  (1,2) (6,7) (6,11) (0,1);

set F[2,3] :=  (2,7) (3,4) (3,8) (1,2);

set F[2,7] :=  (2,3) (7,8) (7,12) (1,2) (6,7);

set F[3,4] :=  (3,8) (4,5) (4,9) (2,3);

set F[3,8] :=  (3,4) (8,9) (8,13) (2,3) (7,8);

set F[4,5] :=  (4,9) (5,10) (3,4);

set F[4,9] :=  (4,5) (9,10) (9,14) (3,4) (8,9);

set F[5,10] :=  (10,15) (4,5) (9,10);

set F[6,7] :=  (6,11) (7,8) (7,12) (1,6) (2,7);

set F[6,11] :=  (6,7) (11,12) (11,16) (1,6);

set F[7,8] :=  (7,12) (8,9) (8,13) (2,7) (6,7) (3,8);

set F[7,12] :=  (7,8) (12,13) (12,17) (2,7) (6,7) (11,12);

set F[8,9] :=  (8,13) (9,10) (9,14) (3,8) (7,8) (4,9);

set F[8,13] :=  (8,9) (13,14) (13,18) (3,8) (7,8) (12,13);

set F[9,10] :=  (9,14) (10,15) (4,9) (8,9) (5,10);

set F[9,14] :=  (9,10) (14,15) (14,19) (4,9) (8,9) (13,14);

set F[10,15] :=  (15,20) (5,10) (9,10) (14,15);

set F[11,12] :=  (11,16) (12,13) (12,17) (6,11) (7,12);

set F[11,16] :=  (11,12) (16,17) (16,21) (6,11);

set F[12,13] :=  (12,17) (13,14) (13,18) (7,12) (11,12) (8,13);

set F[12,17] :=  (12,13) (17,18) (17,22) (7,12) (11,12) (16,17);

set F[13,14] :=  (13,18) (14,15) (14,19) (8,13) (12,13) (9,14);

set F[13,18] :=  (13,14) (18,19) (18,23) (8,13) (12,13) (17,18);

set F[14,15] :=  (14,19) (15,20) (9,14) (13,14) (10,15);

set F[14,19] :=  (14,15) (19,20) (19,24) (9,14) (13,14) (18,19);

set F[15,20] :=  (20,25) (10,15) (14,15) (19,20);

set F[16,17] :=  (16,21) (17,18) (17,22) (11,16) (12,17);

set F[16,21] :=  (16,17) (21,22) (11,16);

set F[17,18] :=  (17,22) (18,19) (18,23) (12,17) (16,17) (13,18);

set F[17,22] :=  (17,18) (22,23) (12,17) (16,17) (21,22);

set F[18,19] :=  (18,23) (19,20) (19,24) (13,18) (17,18) (14,19);

set F[18,23] :=  (18,19) (23,24) (13,18) (17,18) (22,23);

set F[19,20] :=  (19,24) (20,25) (14,19) (18,19) (15,20);

set F[19,24] :=  (19,20) (24,25) (14,19) (18,19) (23,24);

set F[20,25] :=  (15,20) (19,20) (24,25);

set F[21,22] :=  (22,23) (16,21) (17,22);

set F[22,23] :=  (23,24) (17,22) (21,22) (18,23);

set F[23,24] :=  (24,25) (18,23) (22,23) (19,24);

set F[24,25] :=  (19,24) (23,24) (20,25);

param numPeriods := 9;

param numCrews := 10;

param workload := 0   1   0   1   2   1   1   6   1   2   3   4   2   7   3   3   4   0   3   8   1   4   5   2   4   9   4   5  10   4   6   7   0   6  11   4   7   8   4   7  12   2   8   9   4   8  13   0   9  10   2   9  14   4  10  15   3  11  12   4  11  16   3  12  13   0  12  17   4  13  14   4  13  18   3  14  15   3  14  19   3  15  20   1  16  17   3  16  21   0  17  18   3  17  22   0  18  19   1  18  23   0  19  20   0  19  24   4  20  25   3  21  22   1  22  23   4  23  24   0  24  25   2;

param functionality := 0   1   1   1   2   0   1   6   0   2   3   0   2   7   0   3   4   0   3   8   0   4   5   0   4   9   0   5  10   0   6   7   0   6  11   0   7   8   0   7  12   0   8   9   0   8  13   0   9  10   0   9  14   0  10  15   0  11  12   0  11  16   0  12  13   0  12  17   0  13  14   0  13  18   0  14  15   0  14  19   0  15  20   0  16  17   0  16  21   0  17  18   0  17  22   0  18  19   0  18  23   0  19  20   0  19  24   0  20  25   0  21  22   0  22  23   0  23  24   0  24  25   0;

