data; 

set N := 0  1  2  3  4  5  6  7  8  9;

set E :=  (0,1) (1,2) (1,4) (2,3) (2,5) (3,6) (4,5) (4,7) (5,6) (5,8) (6,9) (7,8) (8,9);

set F[0,1] :=  (0,1);

set F[1,2] :=  (1,4) (2,3) (2,5) (0,1);

set F[1,4] :=  (1,2) (4,5) (4,7) (0,1);

set F[2,3] :=  (2,5) (3,6) (1,2);

set F[2,5] :=  (2,3) (5,6) (5,8) (1,2) (4,5);

set F[3,6] :=  (6,9) (2,3) (5,6);

set F[4,5] :=  (4,7) (5,6) (5,8) (1,4) (2,5);

set F[4,7] :=  (4,5) (7,8) (1,4);

set F[5,6] :=  (5,8) (6,9) (2,5) (4,5) (3,6);

set F[5,8] :=  (5,6) (8,9) (2,5) (4,5) (7,8);

set F[6,9] :=  (3,6) (5,6) (8,9);

set F[7,8] :=  (8,9) (4,7) (5,8);

set F[8,9] :=  (5,8) (7,8) (6,9);

param numPeriods := 5;

param numCrews := 6;

param workload := 0  1  0  1  2  1  1  4  1  2  3  4  2  5  3  3  6  0  4  5  1  4  7  2  5  6  4  5  8  4  6  9  0  7  8  4  8  9  4;

param functionality := 0  1  1  1  2  0  1  4  0  2  3  0  2  5  0  3  6  0  4  5  0  4  7  0  5  6  0  5  8  0  6  9  0  7  8  0  8  9  0;

